SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,538 E 84th St Unit 3B,New York,NY,10028,389000,0,1.0,The Chapin,450,,1957,5,864,,Active,,,http://www.redfin.com/NY/New-York/538-E-84th-St-10028/unit-3B/home/45162743,OneKey,3232546,N,Y,40.7737242,-73.9462425
MLS Listing,,Condo/Co-op,220 E 65th St Unit 7A,New York,NY,10065,899000,1,1.0,Concorde Condo,,,1978,10,,,Active,,,http://www.redfin.com/NY/New-York/220-E-65th-St-10065/unit-7A/home/45286492,OneKey,3230990,N,Y,40.7644847,-73.9624624
MLS Listing,,Condo/Co-op,Unit at 118 E 60th St,New York,NY,10022,599000,1,1.0,Upper East Side,,,,13,,,Active,,,http://www.redfin.com/NY/New-York/118-E-60th-St-10022/home/172384064,REBNY,REDC20232335,N,Y,40.7629068,-73.9686349
MLS Listing,,Condo/Co-op,Unit at 345 E 93rd St,New York,NY,10128,660000,1,1.0,Upper East Side,,,,38,,,Active,,,http://www.redfin.com/NY/New-York/345-E-93rd-St-10128/home/45162491,REBNY,REDC219932,N,Y,40.7818656,-73.946292
MLS Listing,,Condo/Co-op,736 W 187th St #208,New York,NY,10033,769000,2,2.0,The Bennett Condo,930,,2005,39,827,699,Active,,,http://www.redfin.com/NY/New-York/736-W-187th-St-10033/unit-208/home/45138477,OneKey,H6044234,N,Y,40.8544042,-73.9354054
MLS Listing,,Condo/Co-op,Unit at 105 W 70th St,New York,NY,10023,750000,1,1.0,Upper West Side,,,,40,,,Active,,,http://www.redfin.com/NY/New-York/105-W-70th-St-10023/home/172040654,REBNY,REDC20185259,N,Y,40.776418,-73.979925
MLS Listing,,Condo/Co-op,Unit at 416 W 52nd St,New York,NY,10019,1696000,2,1.5,Middle West Side,,,,45,,,Active,,,http://www.redfin.com/NY/New-York/416-W-52nd-St-10019/home/114790068,REBNY,REDC16241712,N,Y,40.7648013,-73.9891282
MLS Listing,,Condo/Co-op,Unit at 115 E 9th St,New York,NY,10003,1525000,2,2.0,East Village,,,,61,,,Active,,,http://www.redfin.com/NY/New-York/115-E-9th-St-10003/home/53324939,REBNY,REDC3799723,N,Y,40.7303939,-73.9897689
MLS Listing,,Condo/Co-op,Unit at 737 Park Ave,New York,NY,10021,17995000,6,7.5,Upper East Side,,,,422,,,Active,,,http://www.redfin.com/NY/New-York/737-Park-Ave-10021/home/105844606,REBNY,REDC3531924,N,Y,40.7703877,-73.9638745
MLS Listing,,Condo/Co-op,Unit at 26 Gramercy Park S,New York,NY,10003,470000,1,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/26-Gramercy-Park-S-10003/home/172523292,REBNY,EVNY20260813,N,Y,40.7371269,-73.98561
MLS Listing,,Condo/Co-op,Unit at 175 W 93rd St,New York,NY,10025,2250000,3,2.0,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/175-W-93rd-St-10025/home/172523290,REBNY,EVNY20260076,N,Y,40.7921631,-73.9713327
MLS Listing,,Condo/Co-op,Unit at 225 Lafayette St,New York,NY,10012,3500000,2,2.5,Soho,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/225-Lafayette-St-10012/home/45135501,REBNY,DEGI4353514,N,Y,40.72199,-73.996867
MLS Listing,,Condo/Co-op,Unit at 159 Madison Ave,New York,NY,10016,585000,1,1.0,Murray Hill Kips Bay,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/159-Madison-Ave-10016/home/45197303,REBNY,CORC6103443,N,Y,40.746567,-73.9835139
MLS Listing,,Condo/Co-op,Unit at 30 E 37th St,New York,NY,10016,999880,2,1.0,Murray Hill Kips Bay,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/30-E-37th-St-10016/home/45190297,REBNY,LLGI2982549,N,Y,40.7491444,-73.9809108
MLS Listing,,Condo/Co-op,Unit at 165 W 91st St,New York,NY,10024,1675000,2,2.0,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/165-W-91st-St-10024/home/105855315,REBNY,DEGI4353006,N,Y,40.7908614,-73.9722132
MLS Listing,,Condo/Co-op,Unit at 200 E 94th St,New York,NY,10128,1075000,1,1.0,Upper East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/200-E-94th-St-10128/home/108581011,REBNY,ELEG1843272,N,Y,40.7833546,-73.9499982
MLS Listing,,Condo/Co-op,Unit at 32 Gramercy Park S,New York,NY,10003,1250000,1,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/32-Gramercy-Park-S-10003/home/45229158,REBNY,UCOM65340,N,Y,40.7369796,-73.9848852
MLS Listing,,Condo/Co-op,Unit at 235 E 22nd St,New York,NY,10010,925000,1,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/235-E-22nd-St-10010/home/163364300,REBNY,DEGI4351483,N,Y,40.7376713,-73.9816456
MLS Listing,,Condo/Co-op,Unit at 310 W 56th St,New York,NY,10019,479000,0,1.0,Middle West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/310-W-56th-St-10019/home/172523135,REBNY,UCOM1888422,N,Y,40.7661814,-73.9841508
MLS Listing,,Condo/Co-op,Unit at 200 Riverside Blvd,New York,NY,10069,1299000,1,2.0,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/200-Riverside-Blvd-10069/home/45272029,REBNY,UCOM89962,N,Y,40.7791218,-73.9879632
MLS Listing,,Condo/Co-op,Unit at 120 W 58th St,New York,NY,10019,960000,2,1.0,Middle West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/120-W-58th-St-10019/home/45260603,REBNY,UCOM1455756,N,Y,40.765169,-73.9776999
MLS Listing,,Condo/Co-op,Unit at 1 W 67th St,New York,NY,10023,2950000,3,2.5,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/1-W-67th-St-10023/home/53324014,REBNY,UCOM72095,N,Y,40.7731562,-73.9781993
MLS Listing,,Condo/Co-op,Unit at 50 W 15th St,New York,NY,10011,3395000,3,2.5,Flatiron,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/50-W-15th-St-10011/home/45222419,REBNY,DEGI4351894,N,Y,40.7374472,-73.995445
MLS Listing,,Condo/Co-op,Unit at 300 E 23rd St,New York,NY,10010,995000,1,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/300-E-23rd-St-10010/home/45339992,REBNY,DEGI4351893,N,Y,40.7375213,-73.980868
MLS Listing,,Condo/Co-op,Unit at 92 Horatio St,New York,NY,10014,950000,1,1.0,West Village,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/92-Horatio-St-10014/home/45330308,REBNY,CORC6107900,N,Y,40.7385868,-74.0078404
MLS Listing,,Condo/Co-op,Unit at 20 E 35th St,New York,NY,10016,870000,1,1.0,Middle East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/20-E-35th-St-10016/home/172522733,REBNY,DEGI4353005,N,Y,40.748098,-73.9824791
MLS Listing,,Condo/Co-op,Unit at 865 United Nations Plz,New York,NY,10017,899900,1,1.0,Middle East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/865-United-Nations-Plz-10017/home/45224675,REBNY,DEGI4352999,N,Y,40.7530177,-73.9671004
MLS Listing,,Condo/Co-op,Unit at 575 Grand St,New York,NY,10002,499000,1,1.0,Lower East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/575-Grand-St-10002/home/45140057,REBNY,LOHO20258358,N,Y,40.7128994,-73.9791921
MLS Listing,,Condo/Co-op,Unit at 116 Central Park S,New York,NY,10019,1300000,1,2.0,Middle West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/116-Central-Park-S-10019/home/45261609,REBNY,DEGI4352449,N,Y,40.7657641,-73.9772488
MLS Listing,,Condo/Co-op,Unit at 117 W 17th St,New York,NY,10011,5398000,4,4.0,Chelsea,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/117-W-17th-St-10011/home/172522402,REBNY,CORC6108310,N,Y,40.7398066,-73.9961181
MLS Listing,,Condo/Co-op,Unit at 188 E 76th St,New York,NY,10021,11250000,5,5.0,Upper East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/188-E-76th-St-10021/home/172522400,REBNY,CORC6108263,N,Y,40.7724026,-73.9592035
MLS Listing,,Condo/Co-op,Unit at 264 W 22nd St,New York,NY,10011,399000,1,1.0,Chelsea,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/264-W-22nd-St-10011/home/172522176,REBNY,LLGI2982671,N,Y,40.7442437,-73.9985898
MLS Listing,,Condo/Co-op,Unit at 60 Gramercy Park N,New York,NY,10010,1750000,2,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/60-Gramercy-Park-N-10010/home/45146496,REBNY,DEGI4341729,N,Y,40.7387215,-73.9863316
MLS Listing,,Condo/Co-op,68 Bradhurst Ave Unit 8S,New York,NY,10039,814900,4,2.0,The Langston,915,44775,2005,1,891,589,Active,,,http://www.redfin.com/NY/New-York/68-Bradhurst-Ave-10039/unit-8S/home/45193460,OneKey,H6055696,N,Y,40.8235497,-73.9424786
MLS Listing,,Condo/Co-op,Unit at 140 Riverside Dr,New York,NY,10024,1200000,1,1.0,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/140-Riverside-Dr-10024/home/45152897,REBNY,CORC6097866,N,Y,40.7902965,-73.9795594
MLS Listing,,Condo/Co-op,Unit at 160 E 22nd St,New York,NY,10010,1615000,1,1.0,Gramercy Park,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/160-E-22nd-St-10010/home/105850107,REBNY,BHSR20235817,N,Y,40.738135,-73.9839671
MLS Listing,,Condo/Co-op,Unit at 264 Lexington Ave,New York,NY,10016,899000,2,1.0,Murray Hill Kips Bay,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/264-Lexington-Ave-10016/home/172521984,REBNY,BOND1637055,N,Y,40.7474906,-73.9792656
